ProblemType	Class	model	Package	Order
Dual Use	Generalized linear model	glm	stats	1
Dual Use	Generalized linear model	glmStepAIC	MASS	2
Dual Use	Generalized additive model	gam	mgcv	3
Dual Use	Generalized additive model	gamLoess	gam	4
Dual Use	Generalized additive model	gamSpline	gam	5
Dual Use	Recursive Partitioning	rpart	rpart	6
Dual Use	Recursive Partitioning	rpart2	rpart	7
Dual Use	Recursive Partitioning	ctree	party	8
Dual Use	Recursive Partitioning	ctree2	party	9
Dual Use	Recursive Partitioning	evtree	evtree	10
Dual Use	Recursive Partitioning	obliqueTree	obliqueTree	11
Dual Use	Boosted Trees	gbm	gbm	12
Dual Use	Boosted Trees	blackboost	mboost	13
Dual Use	Boosted Trees	ada	ada	14
Dual Use	Boosted Trees	bstTree	bst	15
Dual Use	Other Boosted Models	glmboost	mboost	16
Dual Use	Other Boosted Models	gamboost	mboost	17
Dual Use	Other Boosted Models	bstLs	bst	18
Dual Use	Other Boosted Models	bstSm	bst	19
Dual Use	Random Forests	rf	randomForest	20
Dual Use	Random Forests	parRF	randomForest	21
Dual Use	Random Forests	cforest	party	22
Dual Use	Random Forests	Boruta	Boruta	23
Dual Use	Random Forests	RRFglobal	RRF	24
Dual Use	Random Forests	RRF	RRF	25
Dual Use	Bagging	treebag	ipred	26
Dual Use	Bagging	bag	caret	27
Dual Use	Bagging	logicBag	logicFS	28
Dual Use	Bagging	bagEarth	caret	29
Dual Use	Other Trees	nodeHarvest	nodeHarvest	30
Dual Use	Other Trees	partDSA	partDSA	31
Dual Use	Multivariate Adaptive Regression Spline	earth	earth	32
Dual Use	Multivariate Adaptive Regression Spline	gcvEarth	earth	33
Dual Use	Logic Regression	logreg	LogicReg	34
Dual Use	Elastic Net	glmnet	glmnet	35
Dual Use	Neural Networks	nnet	nnet	36
Dual Use	Neural Networks	mlp	RSNNS	37
Dual Use	Neural Networks	mlpWeightDecay	RSNNS	38
Dual Use	Neural Networks	pcaNNet	caret	39
Dual Use	Neural Networks	avNNet	caret	40
Dual Use	Radial Basis Function Networks	rbf	RSNNS	41
Dual Use	Partial Least Squares	pls	pls	42
Dual Use	Partial Least Squares	kernelpls	pls	43
Dual Use	Partial Least Squares	simpls	pls	44
Dual Use	Partial Least Squares	widekernelpls	pls	45
Dual Use	Sparse Partial Least Squares	spls	spls	46
Dual Use	Support Vector Machines	svmLinear	kernlab	47
Dual Use	Support Vector Machines	svmRadial	kernlab	48
Dual Use	Support Vector Machines	svmRadialCost	kernlab	49
